customer_id,age,gender,region,tenure,monthly_charges,total_charges,contract,internet_service,support_tickets,satisfaction_score,payment_method,churn
C00001,23,Male,South,6,107.88,594.95,Month-to-month,Fiber optic,5,10.0,Bank transfer,No
C00002,62,Male,South,37,106.79,4079.77,Month-to-month,No,1,6.0,Credit card,No
C00003,55,Female,East,42,48.31,1768.7,Month-to-month,DSL,2,7.0,Credit card,No
C00004,43,Female,West,53,29.22,1535.94,One year,DSL,1,6.0,Credit card,No
C00005,42,Female,South,42,59.94,2560.25,Month-to-month,Fiber optic,1,10.0,Mailed check,No
C00006,66,Female,West,14,43.07,902.98,Month-to-month,Fiber optic,2,2.0,Mailed check,No
C00007,22,Male,West,27,70.52,1813.87,Month-to-month,Fiber optic,3,4.0,Credit card,No
C00008,57,Female,North,32,137.62,4385.59,Two year,Fiber optic,3,7.0,Electronic check,No
C00009,29,Female,Central,71,45.82,3506.36,Month-to-month,Fiber optic,3,5.0,Mailed check,No
C00010,23,Male,North,39,61.67,2316.88,Month-to-month,DSL,1,10.0,Electronic check,No
C00011,48,Female,West,46,108.39,5147.15,Month-to-month,Fiber optic,2,6.0,Electronic check,Yes
C00012,73,Male,East,53,83.56,4487.58,Month-to-month,No,3,2.0,Credit card,No
C00013,59,Female,West,27,30.05,778.2,One year,Fiber optic,0,7.0,Bank transfer,No
C00014,61,Female,West,70,43.59,3119.04,One year,Fiber optic,0,4.0,Electronic check,No
C00015,58,Female,West,49,132.55,6472.82,Month-to-month,DSL,2,5.0,Electronic check,No
C00016,62,Female,West,62,36.86,2585.32,Two year,DSL,0,1.0,Bank transfer,No
C00017,47,Male,Central,54,98.04,4994.16,Month-to-month,Fiber optic,1,9.0,Bank transfer,No
C00018,25,Female,West,45,116.12,5183.03,Two year,Fiber optic,3,5.0,Electronic check,No
C00019,65,Female,Central,3,55.53,128.62,Month-to-month,Fiber optic,2,9.0,Electronic check,No
C00020,43,Female,East,43,108.38,4640.24,Month-to-month,Fiber optic,0,5.0,Bank transfer,No
C00021,46,Female,South,10,44.54,607.46,Two year,No,3,10.0,Electronic check,No
C00022,39,Male,South,44,57.75,2473.94,Two year,No,1,4.0,Electronic check,No
C00023,28,Female,West,51,60.86,3177.67,One year,DSL,1,2.0,Mailed check,No
C00024,70,Male,East,40,139.59,5618.32,One year,DSL,1,5.0,Credit card,No
C00025,62,Female,North,23,49.68,1268.41,One year,No,2,1.0,Credit card,No
C00026,54,Male,South,5,39.86,178.72,One year,Fiber optic,2,9.0,Credit card,No
C00027,40,Male,Central,49,131.45,6489.38,Month-to-month,Fiber optic,1,10.0,Bank transfer,Yes
C00028,64,Male,West,51,43.62,2206.1,Month-to-month,DSL,2,3.0,Credit card,No
C00029,49,Female,West,35,126.12,4266.29,One year,Fiber optic,1,1.0,Bank transfer,No
C00030,43,Male,North,52,99.8,5429.46,One year,DSL,3,8.0,Bank transfer,No
C00031,43,Male,North,57,91.34,5092.05,Two year,DSL,4,7.0,Electronic check,No
C00032,30,Female,South,37,111.4,4050.03,Month-to-month,Fiber optic,2,8.0,Credit card,Yes
C00033,23,Male,Central,4,108.49,305.44,Month-to-month,Fiber optic,1,6.0,Electronic check,No
C00034,49,Male,East,63,37.71,2436.03,Month-to-month,DSL,1,6.0,Bank transfer,No
C00035,68,Male,West,34,139.94,4686.24,Two year,Fiber optic,4,3.0,Bank transfer,Yes
C00036,21,Male,East,49,133.32,6759.97,Month-to-month,Fiber optic,3,4.0,Bank transfer,Yes
C00037,66,Female,East,66,128.11,8535.35,Two year,Fiber optic,1,7.0,Credit card,No
C00038,65,Female,West,27,96.56,2565.59,Month-to-month,Fiber optic,4,10.0,Credit card,No
C00039,33,Female,Central,45,85.12,3693.94,Month-to-month,DSL,2,4.0,Bank transfer,No
C00040,54,Male,East,2,86.67,156.73,One year,Fiber optic,2,4.0,Electronic check,No
C00041,27,Male,East,64,26.72,1788.08,Month-to-month,No,2,6.0,Mailed check,No
C00042,61,Male,Central,5,82.44,405.32,Two year,DSL,1,1.0,Credit card,Yes
C00043,57,Male,South,39,96.73,3751.42,Month-to-month,No,4,7.0,Credit card,Yes
C00044,38,Female,,26,100.75,2466.43,Month-to-month,DSL,0,2.0,Bank transfer,No
C00045,21,Female,East,3,63.2,489.6,One year,Fiber optic,3,7.0,Bank transfer,No
C00046,73,Male,Central,34,79.2,2662.63,Two year,Fiber optic,4,9.0,Credit card,No
C00047,43,Female,East,68,98.18,6470.06,Month-to-month,No,5,10.0,Credit card,No
C00048,68,Female,West,13,74.26,804.12,Month-to-month,DSL,3,2.0,Bank transfer,Yes
C00049,56,Male,South,22,135.65,2932.68,One year,DSL,1,6.0,Credit card,No
C00050,62,Female,West,14,106.13,1777.54,Two year,Fiber optic,2,5.0,Credit card,No
C00051,61,Male,South,9,25.15,200.79,Two year,DSL,0,5.0,Bank transfer,No
C00052,29,Male,West,17,27.68,414.34,Two year,Fiber optic,2,7.0,Electronic check,No
C00053,38,Female,West,42,104.38,4510.66,Month-to-month,No,0,10.0,Bank transfer,No
C00054,44,Female,East,57,72.45,4267.3,One year,DSL,1,6.0,Electronic check,No
C00055,46,Male,East,50,121.54,6175.86,Two year,No,0,6.0,Bank transfer,No
C00056,20,Female,South,56,44.9,2544.38,Two year,DSL,4,7.0,Electronic check,No
C00057,49,Female,West,52,26.59,1217.03,One year,No,4,6.0,Credit card,No
C00058,26,Female,East,28,69.63,1836.99,One year,No,1,4.0,Electronic check,No
C00059,60,Male,East,65,109.65,6888.61,Two year,Fiber optic,3,9.0,Electronic check,No
C00060,56,Female,North,13,136.75,1744.16,Month-to-month,No,2,7.0,Credit card,No
C00061,70,Female,North,51,126.62,6393.92,Month-to-month,No,2,6.0,Credit card,No
C00062,60,Female,North,8,80.67,566.09,Two year,DSL,1,1.0,Credit card,Yes
C00063,38,Female,Central,56,118.47,6676.21,Month-to-month,DSL,3,3.0,Mailed check,Yes
C00064,73,Female,Central,7,33.09,133.05,Month-to-month,DSL,2,3.0,Electronic check,Yes
C00065,41,Female,North,16,90.81,1401.89,Month-to-month,Fiber optic,0,,Credit card,No
C00066,36,Female,North,29,131.29,3734.46,One year,Fiber optic,0,2.0,Credit card,No
C00067,69,Female,West,51,70.58,3594.8,Two year,Fiber optic,2,4.0,Bank transfer,No
C00068,39,Male,East,4,135.41,596.34,One year,Fiber optic,3,5.0,Electronic check,Yes
